POP,MLID,REP,TRT,TAGID,ID,LeafArea,Length,Branched,Single,Capitate,Peltate,BHeight,BLeaf,Imaged,Height,TotalLeafCount,LeafDamage,PerDamage,Alive,Flower #,Pod #,Biomass,Survival
8,75,3,550,8.75.3.2,847,,,,,,,,,,11.1,6,4,0.66666667,n,1,0,0.72,1
8,78,3,550,8.78.3.2,850,,,,,,,,,,8,5,2,0.4,n,0,0,0,0
8,80,3,550,8.80.3.2,852,,,,,,,,,,14.7,6,5,0.83333333,n,2,0,1.59,1
8,82,3,550,8.82.3.2,854,,,,,,,,,,10,5,1,0.2,n,0,0,1.04,1
1,1,4,550,1.1.4.2,901,,,,,,,,,,10.5,6,4,0.66666667,n,0,0,0,0
1,4,4,550,1.4.4.2,904,,,,,,,,,,9.5,5,1,0.2,n,0,0,0.79,1
3,10,4,550,3.10.4.2,910,,,,,,,,,,7.8,6,6,1,n,0,0,1.13,1
3,12,4,550,3.12.4.2,912,,,,,,,,,,9,3,1,0.33333333,n,1,0,0.68,1
3,15,4,550,3.15.4.2,915,,,,,,,,,,10,6,2,0.33333333,n,0,0,0.86,1
3,20,4,550,3.20.4.2,920,,,,,,,,,,3,4,3,0.75,n,0,0,0,0
3,23,4,550,3.23.4.2,923,,,,,,,,,,11.9,9,5,0.55555556,n,1,0,0.46,1
3,24,4,550,3.24.4.2,924,,,,,,,,,,4.5,7,3,0.42857143,n,0,0,0,0
3,27,4,550,3.27.4.2,927,,,,,,,,,,14.5,5,2,0.4,n,0,0,1.28,1
4,33,4,550,4.33.4.2,933,,,,,,,,,,10.8,7,2,0.28571429,n,1,0,0.85,1
4,34,4,550,4.34.4.2,934,,,,,,,,,,22.5,6,2,0.33333333,n,0,0,1.2,1
4,35,4,550,4.35.4.2,935,,,,,,,,,,13.1,6,4,0.66666667,n,1,0,1.42,1
4,36,4,550,4.36.4.2,936,,,,,,,,,,9,5,3,0.6,n,0,0,0.62,1
7,53,4,550,7.53.4.2,952,,,,,,,,,,7.5,5,2,0.4,n,0,0,0,0
8,57,4,550,8.57.4.2,955,,,,,,,,,,9,4,0,0,n,0,0,0.59,1
8,58,4,550,8.58.4.2,956,,,,,,,,,,12.5,8,2,0.25,n,0,0,1.01,1
8,59,4,550,8.59.4.2,957,,,,,,,,,,8,4,4,1,n,0,0,0,0
8,60,4,550,8.60.4.2,958,,,,,,,,,,7.5,5,2,0.4,n,0,0,0.45,1
8,68,4,550,8.68.4.2,966,,,,,,,,,,10.5,3,3,1,n,0,0,0,0
8,70,4,550,8.70.4.2,968,,,,,,,,,,11,6,2,0.33333333,n,0,0,1.02,1
8,72,4,550,8.72.4.2,970,,,,,,,,,,6,6,4,0.66666667,n,0,0,0,0
8,77,4,550,8.77.4.2,975,,,,,,,,,,9.5,6,2,0.33333333,n,0,0,0.32,1
8,78,4,550,8.78.4.2,976,,,,,,,,,,8.7,3,3,1,n,1,0,0.37,1
